"az_early_az_late" "az_early_tx_early" "az_early_tx_late" "az_late_tx_early" "az_late_tx_late" "tx_early_tx_late"
"F_GB40001" 0.0643446600098539 -0.00680761868988133 0.00116685913482584 0.0553867634093034 0.0356264083073164 -0.00204490019511971
"F_GB40002" 0.130728293489192 0.040330185624511 0.0945597817686529 0.0246532077154191 -0.00683605565638246 0.00856229303347922
"F_GB40004" 0.0528755800165865 0.00821615168491152 0.147544391567436 0.0226982168667001 0.0265852566651719 0.0832733856837179
"F_GB40005" 0.0322948598516607 0.00825837073926594 0.0398253443841117 0.0373074590140635 0.00146412418529784 0.0262485213014768
"F_GB40006" 0.0491182122655338 0.0151429890608024 0.0739306308603126 0.115358168658626 0.205627733713435 0.038828932162936
"F_GB40007" 0.394731813839225 0.0321082773310596 0.322853761881131 0.417086117181265 1 0.295466167915651
"F_GB40008" 0.000907353463359573 0.00391981976498534 0.034508844350982 0.00934651310183454 0.0514696533945935 0.0361473929919268
"F_GB40012" 0.0347692268943545 0.0377304880255226 0 0.153648604882479 0 0
"F_GB40013" 0.0375851495013397 0.0077557735674465 0.0666944159028349 0.0666227296059703 0.0334444316745202 0.0413190274256777
"F_GB40015" -0.00988482771749477 0.0306540571149652 0.000925348536813586 0.00919096901225824 -0.0505708055413032 -0.00145233749974616
"F_GB40016" -0.00524071417184757 0.0310844613628598 0.00996271143076988 0.00390074589984946 -0.00845634596839995 0.0312222155627845
"F_GB40017" 0.168254276105391 0.0337920147109977 -0.102725574903897 0.0828016299698425 0.0147904683648316 -0.0810363416749758
"F_GB40018" NA 0.0205128205128206 NA 0.0205128205128206 NA 0.0205128205128206
"F_GB40020" 0.00847655163845684 0.00920866434077539 -0.0126002661542011 0.00944896115627802 -0.0102741925126824 -0.00921640337698726
"F_GB40022" 0.118284265745742 0.00114150635512833 0.136579245994527 0.185748653165533 -0.00495505630533799 0.2061445441468
"F_GB40023" -0.00687399171474423 0.0168088503486571 0.042515710032895 0.0239029075351436 -0.0511863088292492 0.0531360066683555
"F_GB40024" 0.0762790519302922 -0.000440083166613814 0.141183574189289 0.0453208397418279 0.00949582644885771 0.103767563000747
"F_GB40025" 0 0.0171069299935189 0 0 0 0
"F_GB40026" -0.00106858901955564 0.00370422315857966 0.0147859340921992 -0.000390959037952499 0.027671981990158 0.020003306544202
"F_GB40027" 0.552818801279377 0.0338053732671777 -0.0730882704932616 0.635263630332124 0.563777307963354 -0.137254605216486
"F_GB40028" 0.332573311720498 0.00418589848176065 -0.0493725258013211 0.32697700765894 0 -0.0306959083469722
"F_GB40029" 0.163690040525605 0.0197475861229222 0.0169676520281745 0.157208617790979 0.079129574678536 0.00762905330312535
"F_GB40030" -0.000140239427319111 0.0111317761190377 0.0115954513405121 0.0299622569327169 -0.00380454450221901 0.0417372475822659
"F_GB40031" 0.00537715060212318 0.016741395191323 0.0362704834281252 0.0667414505606146 -0.0094848345498193 0.112836242724637
"F_GB40033" 0.0970580067628274 0.00526175969551135 0.0454453311956761 0.125799501845354 0.275953118685168 0.0348765102581896
"F_GB40034" 0.0230165032774414 0.0032129849229342 0.0316650419608788 0.0270221439493041 0.010633513857456 0.0255274375075345
"F_GB40054" 0.0392465992448652 0.0499451374743424 0.0395394739994493 0.150872725302363 0.105410953540081 0.032198371691231
"F_GB40056" 0.0399333062486826 0.0172664892828244 0.00635281939162691 0.102631620264591 0.0340519176341716 0.0202276284828471
"F_GB40057" -0.00346197570174844 0.0120108368535268 0.0926981673510258 0.0149484639602124 0.0766532318256455 0.129707540540192
"F_GB40058" 0.0424261174856406 0.0655720749838398 0.145099735597041 0.197065072515407 0.235721801412645 0.0563809040957597
"F_GB40061" 0 0.00806619970087397 0 0 0 0
"F_GB40063" 0.0408251937261784 0.000181433753834392 0.0745408383423954 0.0364161621345325 0.211906729421909 0.102270683923307
"F_GB40065" 0.00499587781279853 0.00458860971879271 0.0106257216219475 0.0017915406062764 -0.00351190978035287 0.00459179572480073
"F_GB40066" -0.00397171027418719 0.0104963193551276 -0.0239933824107066 0.0382935978528716 -0.00167855644146031 -0.014148323632313
"F_GB40070" -0.00100249795193319 -0.00351730098209391 -0.000728977543061005 0.00067467505010721 0.00423559094227433 -0.00242186161581626
"F_GB40071" -0.000615403136526638 0.0371034126470827 0.0211119788798292 0.0222420110189092 0.00919345101856828 0.00301790841529026
"F_GB40072" 0.0132058955254266 0.0230386779648877 0.104135850174895 0.0771521601441584 0.187888536689218 0.0292493525293714
"F_GB40074" 0 0.0352373984826232 0 0 0 0
"F_GB40075" -0.0146100760888797 0.0245603911054292 -0.00712206978157259 -0.0141121054164532 -0.0270526952404397 0.0192335709385273
"F_GB40076" -0.0144184546240345 0.0241588237708092 0.0903358715391229 0.00305909356386058 0.0604378942261039 0.0144562937116276
"F_GB40077" 0.429742713782428 0.00571268239660849 -0.0187809657709364 0.476227088280003 0.496296296296296 -0.0212700660345488
"F_GB40078" -0.00384307801670514 0.0213433595360928 0.0136111064577337 0.0145765281069196 0.00650166504129424 -0.000663119275714052
"F_GB40079" -0.00485982216152192 0.023069970844972 0.0387861421443338 -0.00072216248621304 0.00760170421938366 0.024994160610034
"F_GB40080" 0 0.0236672914577665 -0.0406693711967545 0 0 -0.0750621249872458
"F_GB40081" -0.0073868872988736 0.0345259180876066 0.00862572338592937 0.0401266338828445 -0.0116289672102401 0.0142806270918844
"F_GB40084" 0.0187287926591773 0.0326982762964713 0.0757109235901249 0.00611020882177027 0.0070289818163296 0.0096990256465822
"F_GB40086" 0.0273191269848914 -0.00161016335875863 0.0335027911625153 0.0594693554682778 0.143046490611507 0.0319337064946479
"F_GB40087" 0 0.0224938625259447 0 0 0 0
"F_GB40088" 0.00560394202940873 0.0111560934902646 0.0157062139777769 0.0215544306332976 0.0126802613089088 -0.00192235561767995
"F_GB40089" 0 0.000833750757936236 0.334799465240642 0 0 0.326853582554517
"F_GB40090" 0.0313101784649098 0.0474062391968298 0.0600576297572544 0.0164890948855314 0.000716319156035539 0.00809413849811258
"F_GB40091" 0.0586930215031692 0.00692564414403796 0.198717776584318 0.0614092453676989 -0.014856216755319 0.177887998635577
"F_GB40092" 0.121072175724258 0.0185549317487383 0.0410756742539342 0.097821604317417 0.0170741351460492 0.0426641794822237
"F_GB40094" -0.000152853219743232 0.00519582587509893 0.0876641247830249 0.00725036551671221 0.0680303742637769 0.0812358251578357
"F_GB40095" 0 0.022454506017063 0 0 0 0
"F_GB40103" 0.00873330548879236 0.0418747245080634 0.108700540184951 0.0211207598739938 0.0414228830766376 0.0547125911961321
"F_GB40104" 0.173256785666533 -0.00610757340310508 0.124683302123197 0.1925675464137 0.056924836398341 0.125844815276528
"F_GB40105" -0.00738005310197809 -0.00408610996846281 0.0111647319681754 -0.00497579343733179 0.00766834786237947 0.00209831601358978
"F_GB40106" -0.00851468932916277 0.000104758842012775 -0.00761912690506872 -0.0116252012713642 -0.018597521254508 -0.00433912470869435
"F_GB40107" -0.00213873410963927 0.0236387082277156 0.0201472312831985 0.0129210120905624 -0.0107705253035222 0.007426657696885
"F_GB40108" 0 0.0154137199864577 -0.143273383141116 0 0 -0.171600540722242
"F_GB40109" 0 0.029802722463956 0 0 0 0
"F_GB40110" 0.0252619323413933 0.00599560835889712 0.0111552216313269 0.014314690265646 0.052443191434716 0.0107529544579246
"F_GB40112" 0.159891898726175 0.0310657482859696 0.0350019438176579 0.0884492986869585 0.260180995475113 0.0532857958018329
"F_GB40114" 0.0170857214905253 0.00453872966572655 -0.020338112846541 0.0206038462989456 0.0401320313574474 -0.0172641321391818
"F_GB40115" 0.545097121030571 0.0107320560299838 0.465409914058374 0.512537082568596 0.238095238095238 0.409480353140296
"F_GB40116" 0.00903819047214671 0.00479720820700913 0.00403387940382471 0.0367155000904322 0.0176660889820248 0.00986862792817644
"F_GB40117" 0.00477924730753154 0.0144254312423916 0.13306845072062 0.0045900690752595 0.178115558070712 0.128971876592853
"F_GB40118" 0.104454901960784 0.0198502474457862 0.0702610312417651 0.203836079425433 0.0170859041290936 0.138876040245903
"F_GB40120" -0.00838547953140134 -0.00137628177318638 0.0257736452128431 0.00442461084281653 0.0383382380806905 0.0152140001949886
"F_GB40123" 0.00438034819317767 0.0114120358218619 0.0161286133895546 0.0361349923929291 0.0446278339996536 0.0192995232866356
