"az_early_az_late" "az_early_tx_early" "az_early_tx_late" "az_late_tx_early" "az_late_tx_late" "tx_early_tx_late"
"F_GB40004" 0.0989486492861651 0.0423002586044425 0.129968297163291 0.212312542225591 -0.00222097852155656 0.24906283586578
"F_GB40005" 0.14612688989077 0.0264957264957263 0.147512240654304 0.0691444307270449 0.00824373235236853 0.0715816055581884
"F_GB40007" 0.0729923592160805 0.0158887883165306 0.0864853156315778 0.0673415941136731 0.00403421193674791 0.0733027114087103
"F_GB40008" 0.11390833690086 0.0301091066243507 0.142710619578297 0.0830146566198172 0.00978569759300751 0.09540146602729
"F_GB40009" 0.109253417971437 0.0214510172280853 0.0982188237852736 0.0726657071720483 0.00705939898515906 0.0714011559314726
"F_GB40010" 0.101267704735647 0.0294071365900677 0.1262931347415 0.0752192063519681 0.0085079064770045 0.0836848438446444
"F_GB40011" 0.0355078314301054 -0.00696545934767934 0.0365913361434158 0.0363395191086423 -0.00469687207920066 0.0362871939226619
"F_GB40013" 0.0585448902973643 0.00531833599451026 0.0522389600040354 0.0666740787478997 0.00269951368726851 0.0527719134540002
"F_GB40014" 0.170177327243865 0.00770206042641342 0.189019458364049 0.124567758971949 0.001821557787549 0.139762250216096
"F_GB40015" 0.153839222745216 0.0716818684949201 0.14905875742297 0.0798854492792104 0.000946087231230908 0.0720848040449351
"F_GB40016" 0.0811528742849432 0.0197406450229661 0.0606361996725265 0.0894951144747351 0.00727198303641297 0.0691555076667294
"F_GB40017" 0.199653047132505 0.0271591469819199 0.21229876906675 0.139179064353692 0.00380942846852661 0.140831385417696
"F_GB40018" 0.00629909589447164 0.00576923076923075 -0.00215083605078759 -0.00197962379414984 -0.00227657278078164 -0.00266424373873431
"F_GB40019" 0.117578260522049 0.00767438087859562 0.125641527776269 0.077231607257648 0.00180695120976004 0.0835320367958649
"F_GB40020" 0.0981115694107296 0.00220744066443579 0.0769599295564896 0.0937493307260238 0.00523791497356052 0.0703198292409342
"F_GB40024" 0.223094501949187 0.0284023668639052 0.267204060307509 0.176001744548685 0.00174131100406216 0.221422761081078
"F_GB40025" 0.10408079340275 0.0166203748080612 0.126488138011786 0.0860562303154995 0.0103830424277513 0.100954125008078
"F_GB40026" 0.0608913225616129 0.0252218848123309 0.0743794039809528 0.0885680434032914 0.000418794130908284 0.0900034650511096
"F_GB40027" 0.0984535505886542 0.0198742856476312 0.0744786813286141 0.0610512671055148 0.00777737088489272 0.046089762778569
"F_GB40028" 0.104499631362617 0.026681376153543 0.0861955808945944 0.155384503369453 0.00421592467537346 0.138763590527816
"F_GB40029" 0.10848301388668 0.00309440049494791 0.10663448239333 0.0887598691318233 0.00128965432500161 0.087005293981039
"F_GB40030" 0.0520498878987515 0.00155749201238164 0.0804133950206164 0.0440012931973569 0.00363396843316377 0.0672501600762928
"F_GB40031" 0.147454414584828 -0.00267355623392773 0.0981755823704574 0.156676660204794 0.00854614873496629 0.108150656441192
"F_GB40032" 0.185250930124301 0.00485079845024494 0.195310401855254 0.127002250982456 -0.00176476701883033 0.13320847538203
"F_GB40034" 0.00425010267641146 0.0105681693039024 0.0319493823226236 0.0292223839134693 0.00721467087104499 0.0489681608458916
"F_GB40035" 0.0475014545108259 0.0114858392178852 0.0766088023972012 0.0667061394421622 0.00876667454274882 0.0783860641848052
"F_GB40053" 0.0881341756828511 0.0189138389618276 0.0719631763413374 0.121452471815908 0.0027703747203135 0.0917403878263731
"F_GB40054" 0.0825047774905511 0.0367149758143738 0.106510315860397 0.0627374812583508 0.00773187938506914 0.0618979507874984
"F_GB40058" 0.0986198105272257 0.0700939287672797 0.0815870340840297 0.210091668645668 -0.00267674306951848 0.193154739043578
"F_GB40060" 0.159138199129239 0.0020275918266025 0.0780847366402395 0.114193436185871 0.0143184737263639 0.0477351015768488
"F_GB40061" 0.108249313217811 0.0284527416783709 0.102368318885837 0.0643901124430155 0.00329469996159582 0.0515101962537677
"F_GB40063" 0.149330058788818 0.00329288894458835 0.145135040292539 0.122122080458929 0.00253965795692679 0.116502556598328
"F_GB40065" 0.0349234541028985 0.0473902952328584 0.062404311180179 0.076294930313809 0.00794270318293355 0.0801507723375361
"F_GB40066" 0.0942622200439155 0.0298625493162686 0.0740823496611418 0.106401408247932 0.00664822470748372 0.0714542235759538
"F_GB40067" 0.0688583235792583 0.0322623632837459 0.0544093456290228 0.0619542019275556 0.0116823719889287 0.0634793859066969
"F_GB40069" 0.112913113025637 0.0178692067173525 0.0919362597795921 0.119579047257141 0.00491877842361754 0.0963671857758107
"F_GB40070" 0.129378985386407 0.0250218751774191 0.106909734267675 0.109170525329501 0.0147348941993019 0.0614814858439366
"F_GB40077" 0.0912608121119606 0.0415490111627944 0.0849952516657622 0.0942647651357658 0.00502885693308341 0.0718928033303546
"F_GB40078" 0.0165993108980885 0.035219441567983 0.0149379657389644 0.0294440957055715 -0.00354849131790047 0.0250247932315664
"F_GB40079" 0.0815674607876594 0.0089376857954343 0.0784487089442926 0.0779326715026064 0.000600592067708017 0.0704756551845491
"F_GB40080" NA NA 0 NA 0 0
"F_GB40081" 0.0951306775596779 0.0118753239791161 0.107458887074289 0.110419104944963 0.00265786625857911 0.113666687964483
"F_GB40082" 0.050490501644093 0.00234487933883964 0.037036067380895 0.053794440054951 0.000649972730918935 0.0368495529401811
"F_GB40083" 0.142455081740087 0.0126109732497537 0.19067288793448 0.10345644639623 0.00828115531682017 0.13883269571352
"F_GB40084" 0.0795676161798852 0.0149985433444842 0.133075835260212 0.111898052040587 0.0082304453000418 0.174262689835905
"F_GB40085" 0.0796446871041894 0.0472479714711073 0.0739301555689286 0.107463843841766 0.00156706164083276 0.112054464839371
"F_GB40087" 0.104079449115809 0.00960934015338399 0.0999015581752088 0.0891372571429776 0.00228219164562615 0.0809120647602114
"F_GB40089" 0.0768265763103048 0.0280763245817168 0.0661992719107423 0.0993950304116024 0.00523132345569799 0.0898476948216691
"F_GB40090" 0.223773836931409 0.105222843817903 0.23810317542998 0.0494081689309303 -0.000501929802308565 0.0522813108538543
"F_GB40092" 0.16378185143632 0.00585021769709493 0.235263377559467 0.17990652064639 0.0151136118802813 0.249712726273933
"F_GB40093" 0.0781201305136711 0.0146214975801225 0.131252894151269 0.109670794752471 0.00740577775296392 0.170653214206704
"F_GB40094" 0.0967645034924977 0.0139437574325709 0.109780911550966 0.0770173599337006 0.00793188778812115 0.0726003562315279
"F_GB40095" 0.108033931430656 0.0225989695227857 0.110070892554469 0.0816715599261629 0.00410072340411094 0.0761051861178577
"F_GB40096" 0.0150103866282866 0.00908593478643582 0.00569167213848465 0.0163270973736002 0.00701259055739711 0.00466821676302143
"F_GB40097" 0.152585560216856 0.00807428670917487 0.111855086527576 0.169739369247886 0.0106990118731449 0.120179813383433
"F_GB40100" 0.123054994493648 0.0618586372536147 0.108450053788953 0.0720119265253812 0.00349700923252394 0.0690130738834069
"F_GB40103" 0.0499603240632128 0.00926474078660788 0.0326191922683491 0.0915320886262273 0.0015253646035005 0.0718214476769692
"F_GB40104" 0.0570337337625101 0.0145047873666522 0.0314302034541306 0.0309095673465285 0.00437878040258144 0.0186576875863786
"F_GB40105" 0.0681940907583128 0.0912355101791864 0.0983158575888441 0.0356805968321251 0.00639764399197362 0.0340307796398647
"F_GB40107" 0.1082109819667 0.0392222543764098 0.133768247306739 0.0549287421202911 0.00853584712849587 0.05846888327092
"F_GB40108" 0.0797380595819865 0.0255445937279012 0.0897505029168597 0.0616754002353267 0.00298833206337035 0.0697781330536333
"F_GB40109" 0.110368390316332 0.0154737795562109 0.135215377794596 0.0915755690852437 0.00740289674182604 0.110188069563149
"F_GB40110" 0.142964199415503 0.00428569545532032 0.12177843832124 0.118102177458868 0.00395891636730661 0.0937678500382286
"F_GB40111" 0.134585558492193 0.0372493280260585 0.105487239828313 0.0937847799863279 0.00280625821543401 0.067077911344317
