id	POP1	POP2	POP3
175	0.120519274	0.879480725	0.000000001
176-4333	0.001042139	0.765496868	0.233460992
176	0.220439549	0.685527651	0.0940328
177-4334	0.017369288	0.346140016	0.636490695
17-769	0.334008275	0.033902706	0.63208902
177	0.308759502	0.691240497	0.000000001
178-4337	0.041110017	0.618201883	0.3406881
178	0.370940564	0.629059435	0.000000001
179-4349	0.202359139	0.571525578	0.226115283
179	0.41744404	0.48311936	0.099436599
17	0.99999997	0	2.92357E-08
180-4351	0.058863812	0.639981891	0.301154297
180	0.133659176	0.783399229	0.082941595
181-4353	0.085500363	0.574670774	0.339828863
181	0.306353167	0.603530971	0.090115861
182-4356	0.133139593	0.566225281	0.300635126
182	0	0.999999998	0
183-4357	0.093276112	0.715438804	0.191285084
183	0.136807267	0.717415133	0.145777601
184-4359	0.10362632	0.610210408	0.286163272
184	0.790404917	0	0.209595082
185-4360	0.00184153	0.442729616	0.555428854
185	0.975515367	0	0.024484632
186-4363	0.081772044	0.754362727	0.16386523
186	0.171070854	0.828929145	0.000000001
187-4365	0.1810667	0.518788697	0.300144603
18-770	0.179853723	0	0.820146276
187	0.377303619	0.503530124	0.119166257
188-4370	0.027678042	0.702952746	0.269369213
188	0.217541529	0.676087291	0.10637118
189-4373	0.069188029	0.806560103	0.124251868
189	0.166192603	0.833807393	4.27419E-09
18	0.999999998	0	0
190-4378	0.082156423	0.476359733	0.441483844
190	0.999999998	0	0
191-4379	0.10613925	0.623430726	0.270430024
191	0.999999998	0	0
192-8384	0.02816224	0	0.971837759
192	0.935933493	0	0.064066506
193-8453	0.379498433	0	0.620501566
194-8454	0.061575999	0	0.938424
195-8458	2.12837E	0	0.999999978
196-8460	0	0	0.999999998
19-771	0.019987612	0	0.980012387
197-8471	0.100807149	0	0.89919285
198-8472	0	0	0.999999998
199-8068	0	0	0.999999998
19	0.943786132	0	0.056213867
1	0.999999998	0	0
200-8069	0.006029027	0	0.993970972
201-8341	0.10086978	0	0.899130219
202-8343	0	0	0.999999998
203-8351	0	0	0.999999998
204-4439	0.398284222	0.388635745	0.213080034
205-4402	0.000000001	0.581172441	0.418827558
206-4407	0.074148965	0.767117695	0.15873334
207-4408	0.047492459	0.709240321	0.243267219
208-4404	0.006792726	0.376600123	0.616607151
209-4416	0.148263187	0.667286602	0.184450211
20-970	0.105134461	0	0.894865538
20	0.999999998	0	0
210-8344	0	0	0.999999998
211-8345	7.9578E	0	0.999920421
212-8349	0.086186977	0	0.913813022
213-8350	0.092238604	0	0.907761395
214-4386	0.09381739	0.850664183	0.055518428
215-4388	0.000000001	0.3782457	0.621754299
216-4390	0.146182401	0.687963671	0.165853928
217-4391	0.144670636	0.709466018	0.145863346
218-4393	0.153463642	0.634972615	0.211563743
219-4394	0.085376534	0.826182336	0.08844113
21-971	0.03874164	0	0.961258359
21	0.999681581	0	0.000318418
220-4398	0.017661719	0.283809348	0.698528933
221-4489	0.136373681	0.605175031	0.258451287
222-4523	0.181463297	0.62512977	0.193406933
223-4675	0.082047399	0.511097312	0.406855289
224-4677	0.131552563	0.665260692	0.203186745
225-4678	0.077237757	0.756057221	0.166705022
226-8461	0.13359543	0	0.866404569
227-4367	0.00481232	0.613523618	0.381664062
228-4371	0.08036719	0.823525301	0.096107508
229-4374	0.142239289	0.583348678	0.274412032
22-972	0.030927071	0	0.969072928
22	0.974771514	0	0.025228485
230-4377	0.01763012	0.84399575	0.13837413
231-4381	0.120923507	0.667363242	0.211713251
232-4382	0.15543421	0.642557601	0.202008189
233-4383	0.056200364	0.688802257	0.254997379
234-4384	0.169309574	0.610708798	0.219981628
235-4624	0.087626298	0.638392421	0.273981281
236-4625	0.103392964	0.574003517	0.32260352
237-4629	0.085945575	0.671858396	0.242196029
238-4630	0.099368049	0.754416884	0.146215068
239-4632	0.076228091	0.787937808	0.135834101
23-973	0.244682812	0	0.755317187
23	0.873475057	0	0.126524942
240-4644	0.123708232	0.593882453	0.282409315
241-4648	0.086931676	0.548914467	0.364153858
2-4246	0.076491776	0.905376918	0.018131306
242-4649	0.06402013	0.698518527	0.237461343
243-4652	0.079266238	0.708358737	0.212375025
244-4653	0.181408745	0.710181554	0.108409701
245-4657	0.169921106	0.660191573	0.169887321
246-4660	0.110079147	0.674868011	0.215052842
247-4661	0.097620881	0.656518614	0.245860506
248-4663	0.047978654	0.803893732	0.148127614
249-4667	0.055727539	0.661327853	0.282944607
24-974	0	0	0.999999998
24	0.946313791	0	0.053686208
250-4668	0.00220925	0.748035186	0.249755564
251-4669	0.01323903	0.794798486	0.191962484
252-4670	0.026263926	0.535479875	0.438256199
253-4672	0.037054938	0.879490564	0.083454498
254-4673	0.040679311	0.621188024	0.338132665
25-4492	0.085696261	0.914303738	0.000000001
255-4683	0.018649627	0.778368228	0.202982145
256-8360	0.235576789	0.000000001	0.76442321
257-4003	0.02127931	0	0.978720689
258-4007	0.212196	0	0.787803999
259-4008	0.107540744	0	0.892459255
25	0.931549733	0	0.068450266
260-4011	0.07429618	0	0.925703819
261-4013	0.019306902	0.262267416	0.718425682
262-4014	0.067368865	0	0.932631134
263-4018	0.09004395	0	0.909956049
264-4019	1.24815E	0	0.999987518
26-4511	0.009860053	0.812715136	0.177424811
265-4020	0	0	0.999999998
266-4021	0	0	0.999999998
267-4023	0.066479814	0	0.933520185
268-4024	0.014772799	0	0.9852272
269-4025	0.147672182	0	0.852327817
26	0.924673789	0	0.07532621
270-4028	0	0	0.999999998
271-4030	0	0	0.999999998
272-4032	0.048280244	0	0.951719755
273-4033	0.065051277	0	0.934948722
274-4034	0	0	0.999999998
27-4527	0.056503336	0.785127973	0.158368691
275-4035	0.048068797	0	0.951931202
276-4036	0.06414342	0	0.935856579
277-4038	0.143136457	0	0.856863542
278-4039	0	0	0.999999998
279-4040	0	0	0.999999998
27	0.999999998	0	0
280-4041	0	0	0.999999998
281-4042	1.73181E	0	0.999999826
282-4043	0.127992143	0	0.872007856
283-4044	0	0	0.999999998
284-4045	0.16246205	0.000000001	0.837537949
28-4535	0.06468189	0.527535877	0.407782232
285-4046	0.064931648	0	0.935068351
286-4047	0	0	0.999999998
287-4074	0.029785515	0	0.970214484
288-8477	0.1232758	0	0.876724199
289-8478	0	0	0.999999998
28	0.864529726	0	0.135470273
290-8479	0	0	0.999999998
29-4487	0.068830053	0.743051908	0.188118039
29	0.856748423	0	0.143251576
2	0.999999998	0	0
30-4496	0.046647652	0.438969249	0.514383099
30	0.999999998	0	0
31-4514	0.070174307	0.775057984	0.154767709
31	0.893442979	0	0.10655702
32-4525	0.018064624	0.832083281	0.149852095
32	0.999999998	0	0
330663	0.070424747	0	0.929575252
330707	0.041316139	0	0.95868386
330973	0.314711391	0	0.685288608
33-4528	0.027978015	0.827998086	0.144023899
33	0.966353707	0	0.033646292
3-4247	0.171728649	0.189435327	0.638836023
34-4170	0.084050998	0	0.915949001
34	0.999992384	0	7.61487E-06
35-4242	0.134265038	0.47915507	0.386579892
35	0.999999998	0	0
36-4243	0.015597521	0	0.984402478
36	0.999999998	0	0
37-4253	0.171194168	0	0.828805831
37	0.995938079	0	0.00406192
38-4255	0.157892705	0.142034646	0.700072649
38	0.999999998	0	0
39-4257	0.10652628	0.61840405	0.27506967
39	0.944259993	0	0.055740006
3	0.938824066	0	0.061175933
40-4262	0.200755731	0.30161329	0.49763098
41-4264	0.038229498	0.210452957	0.751317545
41	0.997201228	0	0.002798771
42-4268	0.111434581	0.638524585	0.250040834
42	0.984456592	0	0.015543407
43-4486	0.083285216	0.805345664	0.11136912
43	0.921271064	0	0.078728935
4-4249	0.115610739	0.687932115	0.196457146
44-4488	7.60387E	0.828379537	0.171612859
44	0.999999998	0	0
45-4512	0.101992478	0.663071788	0.234935734
45	0.877324265	0	0.122675734
46-4515	0.221491901	0.535197488	0.243310611
46	0.944764559	0	0.05523544
47-4534	0.009994478	0.885082522	0.104923
47	0.849568222	0	0.150431777
48-4553	0.05801897	0.593307269	0.348673761
48	0.999999998	0	0
49-4474	0.052645458	0.576183204	0.371171337
49	0.90573401	0	0.094265989
4	0.997667132	0	0.002332867
50-4491	0.086436045	0.67834247	0.235221484
